New York, New York, 2459115
Los Angeles, California, 2442047
Chicago, Illinois, 2379574
Houston, Texas, 2424766
Phoenix, Arizona, 2471390
Philadelphia, Pennsylvania, 2471217
San Antonio, Texas, 2487796
Dallas, Texas, 2388929
San Diego, California, 2487889
San Jose, California, 2488042
Detroit, Michigan, 2391585
San Francisco, California, 2487956
Jacksonville, Florida, 2428344
Indianapolis, Indiana, 2427032
Austin, Texas, 2357536
Columbus, Ohio, 2383660
Fort Worth, Texas, 28340407
Charlotte, North Carolina, 2378426
Memphis, Tennessee, 2449323
Baltimore, Maryland, 2358820
Boston, Massachusetts, 2367105
El Paso, Texas, 2397816
Milwaukee, Wisconsin, 2451822
Denver, Colorado, 2391279
Seattle, Washington, 2490383
Nashville, Tennessee, 2457170
Washington, District of Columbia, 2514815
Las Vegas, Nevada, 2436704
Portland, Oregon, 2475687
Louisville, Kentucky, 2442327
Oklahoma City, Oklahoma, 2464592
Tucson, Arizona, 2508428
Atlanta, Georgia, 2357024
Albuquerque, New Mexico, 2352824
Kansas City, Missouri, 2430683
Fresno, California, 2407517
Sacramento, California, 2486340
Long Beach, California, 2441472
Mesa, Arizona, 2449808
Omaha, Nebraska, 2465512
Cleveland, Ohio, 2381475
Virginia Beach, Virginia, 2512636
Miami, Florida, 2450022
Oakland, California, 2463583
Raleigh, North Carolina, 2478307
Tulsa, Oklahoma, 2508533
Minneapolis, Minnesota, 2452078
Colorado Springs, Colorado, 2383489
Honolulu, Hawaii, 2423945
Arlington, Texas, 2355944
Wichita, Kansas, 2520077
St. Louis, Missouri, 2486982
Tampa, Florida, 2503863
Santa Ana, California, 2488802
New Orleans, Louisiana, 2458833
Anaheim, California, 2354447
Cincinnati, Ohio, 2380358
Bakersfield, California, 2358492
Aurora, Colorado, 2357473
Pittsburgh, Pennsylvania, 2473224
Riverside, California, 2482128
Toledo, Ohio, 2506911
Stockton, California, 2500105
Corpus Christi, Texas, 2385304
Lexington, Kentucky, 2438841
St. Paul, Minnesota, 2487129
Anchora
